Spørgsmål,Svarmuligheder,Operationalisering (cut-points),Group
25. Er du i forbindelse med den hjertesyges sygdom bekymret for følgende? Sæt ét kryds i hver linje - Om den hjertesyge bekymrer sig,I mindre grad,0,
25. Er du i forbindelse med den hjertesyges sygdom bekymret for følgende? Sæt ét kryds i hver linje - Om den hjertesyge bekymrer sig,Slet ikke,0,
25. Er du i forbindelse med den hjertesyges sygdom bekymret for følgende? Sæt ét kryds i hver linje - Om den hjertesyge bekymrer sig,Ved ikke/ikke relevant,2,
25. Er du i forbindelse med den hjertesyges sygdom bekymret for følgende? Sæt ét kryds i hver linje - Hvordan fremtiden ser ud,I høj grad,1,Bekymret for: Hvordan fremtiden ser ud
25. Er du i forbindelse med den hjertesyges sygdom bekymret for følgende? Sæt ét kryds i hver linje - Hvordan fremtiden ser ud,I nogen grad,1,Bekymret for: Hvordan fremtiden ser ud
25. Er du i forbindelse med den hjertesyges sygdom bekymret for følgende? Sæt ét kryds i hver linje - Hvordan fremtiden ser ud,I mindre grad,0,
25. Er du i forbindelse med den hjertesyges sygdom bekymret for følgende? Sæt ét kryds i hver linje - Hvordan fremtiden ser ud,Slet ikke,0,
25. Er du i forbindelse med den hjertesyges sygdom bekymret for følgende? Sæt ét kryds i hver linje - Hvordan fremtiden ser ud,Ved ikke/ikke relevant,2,
25. Er du i forbindelse med den hjertesyges sygdom bekymret for følgende? Sæt ét kryds i hver linje - Hvordan du får talt med den hjertesyge om sygdommen,I høj grad,1,Bekymret for: Hvordan du får talt med den hjertesyge om sygdommen
25. Er du i forbindelse med den hjertesyges sygdom bekymret for følgende? Sæt ét kryds i hver linje - Hvordan du får talt med den hjertesyge om sygdommen,I nogen grad,1,Bekymret for: Hvordan du får talt med den hjertesyge om sygdommen
25. Er du i forbindelse med den hjertesyges sygdom bekymret for følgende? Sæt ét kryds i hver linje - Hvordan du får talt med den hjertesyge om sygdommen,I mindre grad,0,
25. Er du i forbindelse med den hjertesyges sygdom bekymret for følgende? Sæt ét kryds i hver linje - Hvordan du får talt med den hjertesyge om sygdommen,Slet ikke,0,
25. Er du i forbindelse med den hjertesyges sygdom bekymret for følgende? Sæt ét kryds i hver linje - Hvordan du får talt med den hjertesyge om sygdommen,Ved ikke/ikke relevant,2,
"25. Er du i forbindelse med den hjertesyges sygdom bekymret for følgende? Sæt ét kryds i hver linje - Om du er der, hvis hjertesygdommen akut forværres",I høj grad,1,"Bekymret for: Om du er der, hvis hjertesygdommen akut forværres"
"25. Er du i forbindelse med den hjertesyges sygdom bekymret for følgende? Sæt ét kryds i hver linje - Om du er der, hvis hjertesygdommen akut forværres",I nogen grad,1,"Bekymret for: Om du er der, hvis hjertesygdommen akut forværres"
"25. Er du i forbindelse med den hjertesyges sygdom bekymret for følgende? Sæt ét kryds i hver linje - Om du er der, hvis hjertesygdommen akut forværres",I mindre grad,0,
"25. Er du i forbindelse med den hjertesyges sygdom bekymret for følgende? Sæt ét kryds i hver linje - Om du er der, hvis hjertesygdommen akut forværres",Slet ikke,0,
"25. Er du i forbindelse med den hjertesyges sygdom bekymret for følgende? Sæt ét kryds i hver linje - Om du er der, hvis hjertesygdommen akut forværres",Ved ikke/ikke relevant,2,
25. Er du i forbindelse med den hjertesyges sygdom bekymret for følgende? Sæt ét kryds i hver linje - Om du kan holde til det fysisk og psykisk,I høj grad,1,Bekymret for: Om du kan holde til det fysisk og psykisk
25. Er du i forbindelse med den hjertesyges sygdom bekymret for følgende? Sæt ét kryds i hver linje - Om du kan holde til det fysisk og psykisk,I nogen grad,1,Bekymret for: Om du kan holde til det fysisk og psykisk
25. Er du i forbindelse med den hjertesyges sygdom bekymret for følgende? Sæt ét kryds i hver linje - Om du kan holde til det fysisk og psykisk,I mindre grad,0,
25. Er du i forbindelse med den hjertesyges sygdom bekymret for følgende? Sæt ét kryds i hver linje - Om du kan holde til det fysisk og psykisk,Slet ikke,0,
25. Er du i forbindelse med den hjertesyges sygdom bekymret for følgende? Sæt ét kryds i hver linje - Om du kan holde til det fysisk og psykisk,Ved ikke/ikke relevant,2,
44. Har hjertesygdommen haft negativ betydning for nærværet mellem dig og din hjertesyge partner?,I høj grad,1,I nogen grad/i høj grad
44. Har hjertesygdommen haft negativ betydning for nærværet mellem dig og din hjertesyge partner?,I nogen grad,1,I nogen grad/i høj grad
44. Har hjertesygdommen haft negativ betydning for nærværet mellem dig og din hjertesyge partner?,I mindre grad,0,
44. Har hjertesygdommen haft negativ betydning for nærværet mellem dig og din hjertesyge partner?,Slet ikke,0,
44. Har hjertesygdommen haft negativ betydning for nærværet mellem dig og din hjertesyge partner?,Ved ikke,2,
45. Har hjertesygdommen haft negativ betydning for jeres sexliv?,I høj grad,1,I nogen grad/i høj grad
45. Har hjertesygdommen haft negativ betydning for jeres sexliv?,I nogen grad,1,I nogen grad/i høj grad
45. Har hjertesygdommen haft negativ betydning for jeres sexliv?,I mindre grad,0,
45. Har hjertesygdommen haft negativ betydning for jeres sexliv?,Slet ikke,0,
45. Har hjertesygdommen haft negativ betydning for jeres sexliv?,Ved ikke,2,
46. Har du på grund af hjertesygdommen været nervøs for at have sex med den hjertesyge?,I høj grad,1,I nogen grad/i høj grad
46. Har du på grund af hjertesygdommen været nervøs for at have sex med den hjertesyge?,I nogen grad,1,I nogen grad/i høj grad
46. Har du på grund af hjertesygdommen været nervøs for at have sex med den hjertesyge?,I mindre grad,0,
46. Har du på grund af hjertesygdommen været nervøs for at have sex med den hjertesyge?,Slet ikke,0,
46. Har du på grund af hjertesygdommen været nervøs for at have sex med den hjertesyge?,Ved ikke,2,
"47. Har du under corona-pandemien fået den nødvendige information, så du vidste, hvad du skulle gøre, og ikke gøre, i forhold til at beskytte din hjertesyge pårørende mod smitte med corona-virus? Fx fra myndighederne, sundhedsvæsenet eller Hjerteforeningen.",I høj grad,0,
"47. Har du under corona-pandemien fået den nødvendige information, så du vidste, hvad du skulle gøre, og ikke gøre, i forhold til at beskytte din hjertesyge pårørende mod smitte med corona-virus? Fx fra myndighederne, sundhedsvæsenet eller Hjerteforeningen.",I nogen grad,0,
"47. Har du under corona-pandemien fået den nødvendige information, så du vidste, hvad du skulle gøre, og ikke gøre, i forhold til at beskytte din hjertesyge pårørende mod smitte med corona-virus? Fx fra myndighederne, sundhedsvæsenet eller Hjerteforeningen.",I mindre grad,1,I mindre grad / Slet ikke
"47. Har du under corona-pandemien fået den nødvendige information, så du vidste, hvad du skulle gøre, og ikke gøre, i forhold til at beskytte din hjertesyge pårørende mod smitte med corona-virus? Fx fra myndighederne, sundhedsvæsenet eller Hjerteforeningen.",Slet ikke,1,I mindre grad / Slet ikke
"47. Har du under corona-pandemien fået den nødvendige information, så du vidste, hvad du skulle gøre, og ikke gøre, i forhold til at beskytte din hjertesyge pårørende mod smitte med corona-virus? Fx fra myndighederne, sundhedsvæsenet eller Hjerteforeningen.",Ved ikke,2,
48. I hvor høj grad oplever du følgende som følge af corona-pandemien? Sæt ét kryds i hver linje - Bekymringer som følge af corona-pandemien er begyndt at styre mit liv,I høj grad,1,Bekymringer som følge af corona-pandemien er begyndt at styre mit liv
48. I hvor høj grad oplever du følgende som følge af corona-pandemien? Sæt ét kryds i hver linje - Bekymringer som følge af corona-pandemien er begyndt at styre mit liv,I nogen grad,1,Bekymringer som følge af corona-pandemien er begyndt at styre mit liv
48. I hvor høj grad oplever du følgende som følge af corona-pandemien? Sæt ét kryds i hver linje - Bekymringer som følge af corona-pandemien er begyndt at styre mit liv,I mindre grad,0,
48. I hvor høj grad oplever du følgende som følge af corona-pandemien? Sæt ét kryds i hver linje - Bekymringer som følge af corona-pandemien er begyndt at styre mit liv,Slet ikke,0,
48. I hvor høj grad oplever du følgende som følge af corona-pandemien? Sæt ét kryds i hver linje - Bekymringer som følge af corona-pandemien er begyndt at styre mit liv,Ved ikke,2,
48. I hvor høj grad oplever du følgende som følge af corona-pandemien? Sæt ét kryds i hver linje - Jeg undgår nødvendig kontakt med læge eller sygehus,I høj grad,1,Jeg undgår nødvendig kontakt med læge eller sygehus
48. I hvor høj grad oplever du følgende som følge af corona-pandemien? Sæt ét kryds i hver linje - Jeg undgår nødvendig kontakt med læge eller sygehus,I nogen grad,1,Jeg undgår nødvendig kontakt med læge eller sygehus
48. I hvor høj grad oplever du følgende som følge af corona-pandemien? Sæt ét kryds i hver linje - Jeg undgår nødvendig kontakt med læge eller sygehus,I mindre grad,0,
48. I hvor høj grad oplever du følgende som følge af corona-pandemien? Sæt ét kryds i hver linje - Jeg undgår nødvendig kontakt med læge eller sygehus,Slet ikke,0,
48. I hvor høj grad oplever du følgende som følge af corona-pandemien? Sæt ét kryds i hver linje - Jeg undgår nødvendig kontakt med læge eller sygehus,Ved ikke,2,
48. I hvor høj grad oplever du følgende som følge af corona-pandemien? Sæt ét kryds i hver linje - Mine bekymringer påvirker andre fx partner eller børn,I høj grad,1,Mine bekymringer påvirker andre fx partner eller børn
48. I hvor høj grad oplever du følgende som følge af corona-pandemien? Sæt ét kryds i hver linje - Mine bekymringer påvirker andre fx partner eller børn,I nogen grad,1,Mine bekymringer påvirker andre fx partner eller børn
48. I hvor høj grad oplever du følgende som følge af corona-pandemien? Sæt ét kryds i hver linje - Mine bekymringer påvirker andre fx partner eller børn,I mindre grad,0,
48. I hvor høj grad oplever du følgende som følge af corona-pandemien? Sæt ét kryds i hver linje - Mine bekymringer påvirker andre fx partner eller børn,Slet ikke,0,
48. I hvor høj grad oplever du følgende som følge af corona-pandemien? Sæt ét kryds i hver linje - Mine bekymringer påvirker andre fx partner eller børn,Ved ikke,2,
48. I hvor høj grad oplever du følgende som følge af corona-pandemien? Sæt ét kryds i hver linje - Mine bekymringer påvirker min søvn og evnen til at fungere,I høj grad,1,Mine bekymringer påvirker min søvn og evnen til at fungere
48. I hvor høj grad oplever du følgende som følge af corona-pandemien? Sæt ét kryds i hver linje - Mine bekymringer påvirker min søvn og evnen til at fungere,I nogen grad,1,Mine bekymringer påvirker min søvn og evnen til at fungere
48. I hvor høj grad oplever du følgende som følge af corona-pandemien? Sæt ét kryds i hver linje - Mine bekymringer påvirker min søvn og evnen til at fungere,I mindre grad,0,
48. I hvor høj grad oplever du følgende som følge af corona-pandemien? Sæt ét kryds i hver linje - Mine bekymringer påvirker min søvn og evnen til at fungere,Slet ikke,0,
48. I hvor høj grad oplever du følgende som følge af corona-pandemien? Sæt ét kryds i hver linje - Mine bekymringer påvirker min søvn og evnen til at fungere,Ved ikke,2,
"48. I hvor høj grad oplever du følgende som følge af corona-pandemien? Sæt ét kryds i hver linje - E44 fx hjertebanken, åndenød, træthed, koncentrationsbesvær eller irritabilitet",I høj grad,1,Mine bekymringer giver mig vedvarende fysiske symptomer
"48. I hvor høj grad oplever du følgende som følge af corona-pandemien? Sæt ét kryds i hver linje - E44 fx hjertebanken, åndenød, træthed, koncentrationsbesvær eller irritabilitet",I nogen grad,1,Mine bekymringer giver mig vedvarende fysiske symptomer
"48. I hvor høj grad oplever du følgende som følge af corona-pandemien? Sæt ét kryds i hver linje - E44 fx hjertebanken, åndenød, træthed, koncentrationsbesvær eller irritabilitet",I mindre grad,0,
"48. I hvor høj grad oplever du følgende som følge af corona-pandemien? Sæt ét kryds i hver linje - E44 fx hjertebanken, åndenød, træthed, koncentrationsbesvær eller irritabilitet",Slet ikke,0,
"48. I hvor høj grad oplever du følgende som følge af corona-pandemien? Sæt ét kryds i hver linje - E44 fx hjertebanken, åndenød, træthed, koncentrationsbesvær eller irritabilitet",Ved ikke,2,
26. T-ILS,T-ILS score <7,,
26. T-ILS,T-ILS score >=7,1,Indikation på svær ensomhed
27. WHO-5,WHO-5 >=50,,
27. WHO-5,WHO-5 <50,1,Indikation på dårlig trivsel
HADS-anxiety,HADS anxiety 0 - 7,,
HADS-anxiety,HADS anxiety 8 - 10,,
HADS-anxiety,HADS anxiety >=11,1,Symptomer på angst
HADS-depression,HADS depression 0 - 7,,
HADS-depression,HADS depression 8 - 10,,
HADS-depression,HADS depression >=11,1,Symptomer på depression
