Spørgsmål,Svarmuligheder,Operationalisering (cut-points),Group
"17.3 Hvis du modtog fysisk træning, hvor mange uger gik der cirka, fra du blev henvist, til du startede træningen?",Ved ikke,,
"17.3 Hvis du modtog fysisk træning, hvor mange uger gik der cirka, fra du blev henvist, til du startede træningen?",Jeg har ikke modtaget fysisk træning,,
"18. Røg du, da du fik din hjertesygdom?","Ja, og jeg ryger stadig dagligt",,
"18. Røg du, da du fik din hjertesygdom?","Ja, og jeg ryger stadig lejlighedsvist",,
"18. Røg du, da du fik din hjertesygdom?","Ja, men jeg er holdt op",,
"18. Røg du, da du fik din hjertesygdom?",Nej,,
"18.1 Er du bekendt med, at der er markant større chance for at blive røgfri ved hjælp af rådgivning og rygestopmedicin?",Ja,,
"18.1 Er du bekendt med, at der er markant større chance for at blive røgfri ved hjælp af rådgivning og rygestopmedicin?",Nej,,
"18.2 Blev du af personale på sygehus, hos egen læge eller i kommunen anbefalet at få rådgivning om rygestop i kommunen?","Ja, og jeg fik rådgivning",,
"18.2 Blev du af personale på sygehus, hos egen læge eller i kommunen anbefalet at få rådgivning om rygestop i kommunen?","Ja, men jeg ønskede ikke rådgivning",,
"18.2 Blev du af personale på sygehus, hos egen læge eller i kommunen anbefalet at få rådgivning om rygestop i kommunen?",Nej,,
"18.2 Blev du af personale på sygehus, hos egen læge eller i kommunen anbefalet at få rådgivning om rygestop i kommunen?",Ved ikke,,
"19. Manglede du hjælp og støtte til at håndtere svære følelser, bekymringer eller følelsesmæssige problemer med din hjertesygdom?","Ja, i høj grad",1,I nogen grad/i høj grad
"19. Manglede du hjælp og støtte til at håndtere svære følelser, bekymringer eller følelsesmæssige problemer med din hjertesygdom?","Ja, i nogen grad",1,I nogen grad/i høj grad
"19. Manglede du hjælp og støtte til at håndtere svære følelser, bekymringer eller følelsesmæssige problemer med din hjertesygdom?",I mindre grad,0,I mindre grad/slet ikke
"19. Manglede du hjælp og støtte til at håndtere svære følelser, bekymringer eller følelsesmæssige problemer med din hjertesygdom?","Nej, slet ikke",0,I mindre grad/slet ikke
"19. Manglede du hjælp og støtte til at håndtere svære følelser, bekymringer eller følelsesmæssige problemer med din hjertesygdom?",Ved ikke,2,
"20. Var du i arbejde, da du fik din hjertesygdom i 2018? Arbejde inkluderer her også deltidsarbejde, fleksjob, barsel m.v.",Ja,,
"20. Var du i arbejde, da du fik din hjertesygdom i 2018? Arbejde inkluderer her også deltidsarbejde, fleksjob, barsel m.v.",Nej,,
20.1 Har din arbejdssituation ændret sig som følge af din hjertesygdom? Sæt gerne flere krydser,"Ja, jeg blev fyret",,
20.1 Har din arbejdssituation ændret sig som følge af din hjertesygdom? Sæt gerne flere krydser,"Ja, jeg har måttet stoppe med at arbejde i en periode",,
20.1 Har din arbejdssituation ændret sig som følge af din hjertesygdom? Sæt gerne flere krydser,"Ja, jeg er holdt op med at arbejde pga. min hjertesygdom",,
20.1 Har din arbejdssituation ændret sig som følge af din hjertesygdom? Sæt gerne flere krydser,"Ja, jeg har skiftet arbejde/karrierevej",,
20.1 Har din arbejdssituation ændret sig som følge af din hjertesygdom? Sæt gerne flere krydser,"Ja, jeg har valgt at gå ned i tid",,
20.1 Har din arbejdssituation ændret sig som følge af din hjertesygdom? Sæt gerne flere krydser,"Ja, jeg er kommet i fleksjob",,
20.1 Har din arbejdssituation ændret sig som følge af din hjertesygdom? Sæt gerne flere krydser,"Ja, den fysiske indretning af arbejdspladsen er blevet ændret/jeg har fået hjælpemidler",,
20.1 Har din arbejdssituation ændret sig som følge af din hjertesygdom? Sæt gerne flere krydser,"Ja, jeg har fået andre arbejdsopgaver end tidligere",,
20.1 Har din arbejdssituation ændret sig som følge af din hjertesygdom? Sæt gerne flere krydser,"Jeg er holdt op med at arbejde, men ikke pga. min hjertesygdom",,
20.1 Har din arbejdssituation ændret sig som følge af din hjertesygdom? Sæt gerne flere krydser,"Nej, min arbejdssituation er den samme",,
20.1 Har din arbejdssituation ændret sig som følge af din hjertesygdom? Sæt gerne flere krydser,Andet ? skriv venligst,,
20.1 Har din arbejdssituation ændret sig som følge af din hjertesygdom? Sæt gerne flere krydser - Andet ? skriv venligst,,,
20.2 Har du været sygemeldt som følge af din hjertesygdom?,"Ja, men jeg er tilbage i arbejde",,
20.2 Har du været sygemeldt som følge af din hjertesygdom?,"Ja, og jeg er stadig sygemeldt",,
20.2 Har du været sygemeldt som følge af din hjertesygdom?,Nej,,
"20.2.1 Da du vendte tilbage i arbejde efter sygemeldingen, følte du dig da klar til det?","Ja, i høj grad",0,I nogen grad/i høj grad
"20.2.1 Da du vendte tilbage i arbejde efter sygemeldingen, følte du dig da klar til det?","Ja, i nogen grad",0,I nogen grad/i høj grad
"20.2.1 Da du vendte tilbage i arbejde efter sygemeldingen, følte du dig da klar til det?",I mindre grad,1,I mindre grad/slet ikke
"20.2.1 Da du vendte tilbage i arbejde efter sygemeldingen, følte du dig da klar til det?","Nej, slet ikke",1,I mindre grad/slet ikke
"20.2.2 Hvad var grunden(e) til, at du vendte tilbage til arbejdet på det tidspunkt, du gjorde? Sæt gerne flere kryds","For at komme tilbage til den hverdag jeg havde, før jeg blev syg",,
"20.2.2 Hvad var grunden(e) til, at du vendte tilbage til arbejdet på det tidspunkt, du gjorde? Sæt gerne flere kryds",Jeg følte mig fysisk klar til at vende tilbage til arbejdet,,
"20.2.2 Hvad var grunden(e) til, at du vendte tilbage til arbejdet på det tidspunkt, du gjorde? Sæt gerne flere kryds",Jeg følte mig psykisk klar til at vende tilbage til arbejdet,,
"20.2.2 Hvad var grunden(e) til, at du vendte tilbage til arbejdet på det tidspunkt, du gjorde? Sæt gerne flere kryds","Jeg havde behov for at føle, at jeg kunne bidrage og være til nytte",,
"20.2.2 Hvad var grunden(e) til, at du vendte tilbage til arbejdet på det tidspunkt, du gjorde? Sæt gerne flere kryds",For at få tankerne væk fra min hjertesygdom,,
"20.2.2 Hvad var grunden(e) til, at du vendte tilbage til arbejdet på det tidspunkt, du gjorde? Sæt gerne flere kryds",Jeg var bange for at miste mit arbejde,,
"20.2.2 Hvad var grunden(e) til, at du vendte tilbage til arbejdet på det tidspunkt, du gjorde? Sæt gerne flere kryds","Jeg følte, at jeg var nødt til det",,
"20.2.2 Hvad var grunden(e) til, at du vendte tilbage til arbejdet på det tidspunkt, du gjorde? Sæt gerne flere kryds",Andet - skriv gerne:,,
"20.2.2 Hvad var grunden(e) til, at du vendte tilbage til arbejdet på det tidspunkt, du gjorde? Sæt gerne flere kryds - Andet - skriv gerne:",,,
20.2.3 Har du følt dig presset til at vende tilbage til arbejde efter sygemelding? Sæt gerne flere krydser,"Ja, jeg har følt mig presset af jobcenteret (kommunen)",,
20.2.3 Har du følt dig presset til at vende tilbage til arbejde efter sygemelding? Sæt gerne flere krydser,"Ja, jeg har følt mig presset af min arbejdsgiver",,
20.2.3 Har du følt dig presset til at vende tilbage til arbejde efter sygemelding? Sæt gerne flere krydser,"Ja, jeg har følt mig presset af mine kolleger",,
20.2.3 Har du følt dig presset til at vende tilbage til arbejde efter sygemelding? Sæt gerne flere krydser,"Ja, jeg har følt mig presset af mine pårørende",,
20.2.3 Har du følt dig presset til at vende tilbage til arbejde efter sygemelding? Sæt gerne flere krydser,"Ja, jeg har følt mig presset af økonomiske årsager",,
20.2.3 Har du følt dig presset til at vende tilbage til arbejde efter sygemelding? Sæt gerne flere krydser,"Ja, jeg har følt mig presset af andre årsager, skriv gerne:",,
20.2.3 Har du følt dig presset til at vende tilbage til arbejde efter sygemelding? Sæt gerne flere krydser,"Nej, jeg har ikke følt mig presset",,
"20.2.3 Har du følt dig presset til at vende tilbage til arbejde efter sygemelding? Sæt gerne flere krydser - Ja, jeg har følt mig presset af andre årsager, skriv gerne:",,,
"20.2.4 Har du i forbindelse med at vende tilbage til arbejdet haft brug for professionel rådgivning, fx fra en socialrådgiver, fagforening, jobkonsulent e.l.? ","Ja, og jeg fik professionel rådgivning",,
"20.2.4 Har du i forbindelse med at vende tilbage til arbejdet haft brug for professionel rådgivning, fx fra en socialrådgiver, fagforening, jobkonsulent e.l.? ","Ja, men jeg fik ikke professionel rådgivning",,
"20.2.4 Har du i forbindelse med at vende tilbage til arbejdet haft brug for professionel rådgivning, fx fra en socialrådgiver, fagforening, jobkonsulent e.l.? ",Nej,,
20.2.5 Har din arbejdsgiver gjort noget for at hjælpe dig med at bevare din tilknytning til arbejdspladsen?,"Ja, i høj grad",0,I nogen grad/i høj grad
20.2.5 Har din arbejdsgiver gjort noget for at hjælpe dig med at bevare din tilknytning til arbejdspladsen?,"Ja, i nogen grad",0,I nogen grad/i høj grad
20.2.5 Har din arbejdsgiver gjort noget for at hjælpe dig med at bevare din tilknytning til arbejdspladsen?,I mindre grad,1,I mindre grad/slet ikke
20.2.5 Har din arbejdsgiver gjort noget for at hjælpe dig med at bevare din tilknytning til arbejdspladsen?,"Nej, slet ikke",1,I mindre grad/slet ikke
20.2.5 Har din arbejdsgiver gjort noget for at hjælpe dig med at bevare din tilknytning til arbejdspladsen?,Ved ikke,2,
21. Har økonomien i din husstand ændret sig som følge af din hjertesygdom?,"Ja, den er dårligere end før",,
21. Har økonomien i din husstand ændret sig som følge af din hjertesygdom?,"Ja, den er bedre end før",,
21. Har økonomien i din husstand ændret sig som følge af din hjertesygdom?,"Nej, den er ikke ændret",,
21. Har økonomien i din husstand ændret sig som følge af din hjertesygdom?,Ved ikke,,
22. Har du i forbindelse med din hjertesygdom oplevet problemer med at få tildelt følgende ydelser? Sæt ét kryds i hver linje - Sygedagpenge,Ja,1,Problemer med at få tildelt sygedagpenge
22. Har du i forbindelse med din hjertesygdom oplevet problemer med at få tildelt følgende ydelser? Sæt ét kryds i hver linje - Sygedagpenge,Nej,0,Nej
22. Har du i forbindelse med din hjertesygdom oplevet problemer med at få tildelt følgende ydelser? Sæt ét kryds i hver linje - Sygedagpenge,Jeg har ikke ansøgt/ikke relevant,2,Jeg har ikke ansøgt/ikke relevant
22. Har du i forbindelse med din hjertesygdom oplevet problemer med at få tildelt følgende ydelser? Sæt ét kryds i hver linje - Fleksjob,Ja,1,Problemer med at få tildelt fleksjob
22. Har du i forbindelse med din hjertesygdom oplevet problemer med at få tildelt følgende ydelser? Sæt ét kryds i hver linje - Fleksjob,Nej,0,Nej
22. Har du i forbindelse med din hjertesygdom oplevet problemer med at få tildelt følgende ydelser? Sæt ét kryds i hver linje - Fleksjob,Jeg har ikke ansøgt/ikke relevant,2,Jeg har ikke ansøgt/ikke relevant
22. Har du i forbindelse med din hjertesygdom oplevet problemer med at få tildelt følgende ydelser? Sæt ét kryds i hver linje - Førtidspension,Ja,1,Problemer med at få tildelt førtidspension
22. Har du i forbindelse med din hjertesygdom oplevet problemer med at få tildelt følgende ydelser? Sæt ét kryds i hver linje - Førtidspension,Nej,0,Nej
22. Har du i forbindelse med din hjertesygdom oplevet problemer med at få tildelt følgende ydelser? Sæt ét kryds i hver linje - Førtidspension,Jeg har ikke ansøgt/ikke relevant,2,Jeg har ikke ansøgt/ikke relevant
22. Har du i forbindelse med din hjertesygdom oplevet problemer med at få tildelt følgende ydelser? Sæt ét kryds i hver linje - Hjælpemidler,Ja,1,Problemer med at få tildelt hjælpemidler
22. Har du i forbindelse med din hjertesygdom oplevet problemer med at få tildelt følgende ydelser? Sæt ét kryds i hver linje - Hjælpemidler,Nej,0,Nej
22. Har du i forbindelse med din hjertesygdom oplevet problemer med at få tildelt følgende ydelser? Sæt ét kryds i hver linje - Hjælpemidler,Jeg har ikke ansøgt/ikke relevant,2,Jeg har ikke ansøgt/ikke relevant
22. Har du i forbindelse med din hjertesygdom oplevet problemer med at få tildelt følgende ydelser? Sæt ét kryds i hver linje - Hjemmehjælp,Ja,1,Problemer med at få tildelt hjemmehjælp
22. Har du i forbindelse med din hjertesygdom oplevet problemer med at få tildelt følgende ydelser? Sæt ét kryds i hver linje - Hjemmehjælp,Nej,0,Nej
22. Har du i forbindelse med din hjertesygdom oplevet problemer med at få tildelt følgende ydelser? Sæt ét kryds i hver linje - Hjemmehjælp,Jeg har ikke ansøgt/ikke relevant,2,Jeg har ikke ansøgt/ikke relevant
22. Har du i forbindelse med din hjertesygdom oplevet problemer med at få tildelt følgende ydelser? Sæt ét kryds i hver linje - Tilskud til medicin,Ja,1,Problemer med at få tildelt tilskud til medicin
22. Har du i forbindelse med din hjertesygdom oplevet problemer med at få tildelt følgende ydelser? Sæt ét kryds i hver linje - Tilskud til medicin,Nej,0,Nej
22. Har du i forbindelse med din hjertesygdom oplevet problemer med at få tildelt følgende ydelser? Sæt ét kryds i hver linje - Tilskud til medicin,Jeg har ikke ansøgt/ikke relevant,2,Jeg har ikke ansøgt/ikke relevant
22. Har du i forbindelse med din hjertesygdom oplevet problemer med at få tildelt følgende ydelser? Sæt ét kryds i hver linje - Tilskud til psykolog,Ja,1,Problemer med at få tildelt tilskud til psykolog
22. Har du i forbindelse med din hjertesygdom oplevet problemer med at få tildelt følgende ydelser? Sæt ét kryds i hver linje - Tilskud til psykolog,Nej,0,Nej
22. Har du i forbindelse med din hjertesygdom oplevet problemer med at få tildelt følgende ydelser? Sæt ét kryds i hver linje - Tilskud til psykolog,Jeg har ikke ansøgt/ikke relevant,2,Jeg har ikke ansøgt/ikke relevant
22. Har du i forbindelse med din hjertesygdom oplevet problemer med at få tildelt følgende ydelser? Sæt ét kryds i hver linje - Ansøgning om merudgifter på grund af nedsat fysisk/psykisk funktionsevne,Ja,1,Problemer med ansøgning om merudgifter på grund af nedsat fysisk/psykisk funktionsevne
22. Har du i forbindelse med din hjertesygdom oplevet problemer med at få tildelt følgende ydelser? Sæt ét kryds i hver linje - Ansøgning om merudgifter på grund af nedsat fysisk/psykisk funktionsevne,Nej,0,Nej
22. Har du i forbindelse med din hjertesygdom oplevet problemer med at få tildelt følgende ydelser? Sæt ét kryds i hver linje - Ansøgning om merudgifter på grund af nedsat fysisk/psykisk funktionsevne,Jeg har ikke ansøgt/ikke relevant,2,Jeg har ikke ansøgt/ikke relevant
"22.1 Har du i forbindelse med ansøgning om én eller flere af førnævnte ydelser haft brug for professionel rådgivning f.eks. fra en socialrådgiver, din praktiserende læge eller patientforening? ","Ja, og jeg fik professionel rådgivning",,
"22.1 Har du i forbindelse med ansøgning om én eller flere af førnævnte ydelser haft brug for professionel rådgivning f.eks. fra en socialrådgiver, din praktiserende læge eller patientforening? ","Ja, men jeg fik ikke professionel rådgivning",,
"22.1 Har du i forbindelse med ansøgning om én eller flere af førnævnte ydelser haft brug for professionel rådgivning f.eks. fra en socialrådgiver, din praktiserende læge eller patientforening? ",Nej,,
"25. Tager du nogen af følgende former for kosttilskud eller naturlægemidler? Sæt kryds ved det/de produkt(er), du tager. Hvis du ingen tager, sæt da kryds ved 'Nej, jeg tager ingen af ovenstående produkter'.",Calcium,,
"25. Tager du nogen af følgende former for kosttilskud eller naturlægemidler? Sæt kryds ved det/de produkt(er), du tager. Hvis du ingen tager, sæt da kryds ved 'Nej, jeg tager ingen af ovenstående produkter'.",D-vitamin,,
"25. Tager du nogen af følgende former for kosttilskud eller naturlægemidler? Sæt kryds ved det/de produkt(er), du tager. Hvis du ingen tager, sæt da kryds ved 'Nej, jeg tager ingen af ovenstående produkter'.",E-vitamin,,
"25. Tager du nogen af følgende former for kosttilskud eller naturlægemidler? Sæt kryds ved det/de produkt(er), du tager. Hvis du ingen tager, sæt da kryds ved 'Nej, jeg tager ingen af ovenstående produkter'.",Efedrin,,
"25. Tager du nogen af følgende former for kosttilskud eller naturlægemidler? Sæt kryds ved det/de produkt(er), du tager. Hvis du ingen tager, sæt da kryds ved 'Nej, jeg tager ingen af ovenstående produkter'.",Fibertilskud f.eks. HUSK/loppefrøskaller,,
"25. Tager du nogen af følgende former for kosttilskud eller naturlægemidler? Sæt kryds ved det/de produkt(er), du tager. Hvis du ingen tager, sæt da kryds ved 'Nej, jeg tager ingen af ovenstående produkter'.",Fiskeolie,,
"25. Tager du nogen af følgende former for kosttilskud eller naturlægemidler? Sæt kryds ved det/de produkt(er), du tager. Hvis du ingen tager, sæt da kryds ved 'Nej, jeg tager ingen af ovenstående produkter'.",Ginkgo biloba,,
"25. Tager du nogen af følgende former for kosttilskud eller naturlægemidler? Sæt kryds ved det/de produkt(er), du tager. Hvis du ingen tager, sæt da kryds ved 'Nej, jeg tager ingen af ovenstående produkter'.",Ginseng,,
"25. Tager du nogen af følgende former for kosttilskud eller naturlægemidler? Sæt kryds ved det/de produkt(er), du tager. Hvis du ingen tager, sæt da kryds ved 'Nej, jeg tager ingen af ovenstående produkter'.",Hvidløg,,
"25. Tager du nogen af følgende former for kosttilskud eller naturlægemidler? Sæt kryds ved det/de produkt(er), du tager. Hvis du ingen tager, sæt da kryds ved 'Nej, jeg tager ingen af ovenstående produkter'.",Hvidtjørn,,
"25. Tager du nogen af følgende former for kosttilskud eller naturlægemidler? Sæt kryds ved det/de produkt(er), du tager. Hvis du ingen tager, sæt da kryds ved 'Nej, jeg tager ingen af ovenstående produkter'.",Ingefær,,
"25. Tager du nogen af følgende former for kosttilskud eller naturlægemidler? Sæt kryds ved det/de produkt(er), du tager. Hvis du ingen tager, sæt da kryds ved 'Nej, jeg tager ingen af ovenstående produkter'.",Jern,,
"25. Tager du nogen af følgende former for kosttilskud eller naturlægemidler? Sæt kryds ved det/de produkt(er), du tager. Hvis du ingen tager, sæt da kryds ved 'Nej, jeg tager ingen af ovenstående produkter'.",K-vitamin,,
"25. Tager du nogen af følgende former for kosttilskud eller naturlægemidler? Sæt kryds ved det/de produkt(er), du tager. Hvis du ingen tager, sæt da kryds ved 'Nej, jeg tager ingen af ovenstående produkter'.",L-carnitin,,
"25. Tager du nogen af følgende former for kosttilskud eller naturlægemidler? Sæt kryds ved det/de produkt(er), du tager. Hvis du ingen tager, sæt da kryds ved 'Nej, jeg tager ingen af ovenstående produkter'.",Magnesium,,
"25. Tager du nogen af følgende former for kosttilskud eller naturlægemidler? Sæt kryds ved det/de produkt(er), du tager. Hvis du ingen tager, sæt da kryds ved 'Nej, jeg tager ingen af ovenstående produkter'.",Multivitaminer,,
"25. Tager du nogen af følgende former for kosttilskud eller naturlægemidler? Sæt kryds ved det/de produkt(er), du tager. Hvis du ingen tager, sæt da kryds ved 'Nej, jeg tager ingen af ovenstående produkter'.",Perikon/perikum/St. Johns Wort,,
"25. Tager du nogen af følgende former for kosttilskud eller naturlægemidler? Sæt kryds ved det/de produkt(er), du tager. Hvis du ingen tager, sæt da kryds ved 'Nej, jeg tager ingen af ovenstående produkter'.",Q10,,
"25. Tager du nogen af følgende former for kosttilskud eller naturlægemidler? Sæt kryds ved det/de produkt(er), du tager. Hvis du ingen tager, sæt da kryds ved 'Nej, jeg tager ingen af ovenstående produkter'.",Røde gærris,,
"25. Tager du nogen af følgende former for kosttilskud eller naturlægemidler? Sæt kryds ved det/de produkt(er), du tager. Hvis du ingen tager, sæt da kryds ved 'Nej, jeg tager ingen af ovenstående produkter'.",Andet - skriv venligst:,,
"25. Tager du nogen af følgende former for kosttilskud eller naturlægemidler? Sæt kryds ved det/de produkt(er), du tager. Hvis du ingen tager, sæt da kryds ved 'Nej, jeg tager ingen af ovenstående produkter'.",Jeg tager ingen af ovenstående produkter,,
"25. Tager du nogen af følgende former for kosttilskud eller naturlægemidler? Sæt kryds ved det/de produkt(er), du tager. Hvis du ingen tager, sæt da kryds ved 'Nej, jeg tager ingen af ovenstående produkter'. - Andet - skriv venligst:",,,
25.1 Jeg tager produkterne af følgende årsager... Sæt gerne flere kryds,"For min sundhed - fx fordi jeg gerne vil undgå, at sygdommen udvikler sig",,
25.1 Jeg tager produkterne af følgende årsager... Sæt gerne flere kryds,For at få mindre lægeordineret medicin,,
25.1 Jeg tager produkterne af følgende årsager... Sæt gerne flere kryds,Som supplement til den øvrige behandling,,
25.1 Jeg tager produkterne af følgende årsager... Sæt gerne flere kryds,Som behandling/lindring af anden sygdom,,
25.1 Jeg tager produkterne af følgende årsager... Sæt gerne flere kryds,Fordi kosttilskud og naturlægemidler ikke har bivirkninger,,
25.1 Jeg tager produkterne af følgende årsager... Sæt gerne flere kryds,"Jeg har fået det anbefalet af en læge, tandlæge eller sygeplejerske",,
25.1 Jeg tager produkterne af følgende årsager... Sæt gerne flere kryds,"Jeg har fået det anbefalet af familie, ven/veninde, kollega, nabo, en anden hjertepatient e.a.",,
25.1 Jeg tager produkterne af følgende årsager... Sæt gerne flere kryds,Andet,,
25.1 Jeg tager produkterne af følgende årsager... Sæt gerne flere kryds - Andet - skriv venligst:,,,
"25.2 Har du talt med din egen læge eller hjertelægen om følgende i forbindelse med de kosttilskud eller naturlægemidler, du tager? Sæt kryds ved det, du har talt med lægen om",Hvilken virkning du gerne vil opnå med kosttilskuddene/naturlægemidlerne,,
"25.2 Har du talt med din egen læge eller hjertelægen om følgende i forbindelse med de kosttilskud eller naturlægemidler, du tager? Sæt kryds ved det, du har talt med lægen om","Hvilke produkter og hvilken dosis, du med fordel kunne tage",,
"25.2 Har du talt med din egen læge eller hjertelægen om følgende i forbindelse med de kosttilskud eller naturlægemidler, du tager? Sæt kryds ved det, du har talt med lægen om","Hvordan produkterne påvirker den lægeordinerede medicin, du eventuelt får",,
"25.2 Har du talt med din egen læge eller hjertelægen om følgende i forbindelse med de kosttilskud eller naturlægemidler, du tager? Sæt kryds ved det, du har talt med lægen om",Hvordan du skal forholde dig i tilfælde af operation,,
"25.2 Har du talt med din egen læge eller hjertelægen om følgende i forbindelse med de kosttilskud eller naturlægemidler, du tager? Sæt kryds ved det, du har talt med lægen om",Hvordan du indberetter eventuelle bivirkninger eller allergiske reaktioner,,
"25.2 Har du talt med din egen læge eller hjertelægen om følgende i forbindelse med de kosttilskud eller naturlægemidler, du tager? Sæt kryds ved det, du har talt med lægen om","Nej, jeg har ikke talt med egen læge eller hjertelægen",,
"26. Hvordan synes du, at dit helbred er alt i alt? ",Fremragende,0,
"26. Hvordan synes du, at dit helbred er alt i alt? ",Vældig godt,0,
"26. Hvordan synes du, at dit helbred er alt i alt? ",Godt,0,
"26. Hvordan synes du, at dit helbred er alt i alt? ",Mindre godt,1,Dårligt / Mindre godt
"26. Hvordan synes du, at dit helbred er alt i alt? ",Dårligt,1,Dårligt / Mindre godt
27. Hvor ofte inden for de seneste fire uger... Sæt ét kryds i hver linje - Er du vågnet flere gange og har haft svært ved at falde i søvn igen?,Altid,1,
27. Hvor ofte inden for de seneste fire uger... Sæt ét kryds i hver linje - Er du vågnet flere gange og har haft svært ved at falde i søvn igen?,Ofte,1,
27. Hvor ofte inden for de seneste fire uger... Sæt ét kryds i hver linje - Er du vågnet flere gange og har haft svært ved at falde i søvn igen?,Sommetider,0,
27. Hvor ofte inden for de seneste fire uger... Sæt ét kryds i hver linje - Er du vågnet flere gange og har haft svært ved at falde i søvn igen?,Sjældent ,0,
27. Hvor ofte inden for de seneste fire uger... Sæt ét kryds i hver linje - Er du vågnet flere gange og har haft svært ved at falde i søvn igen?,Aldrig,0,
"27. Hvor ofte inden for de seneste fire uger... Sæt ét kryds i hver linje - Har du følt, at du ikke var udhvilet, når du vågnede?",Altid,1,
"27. Hvor ofte inden for de seneste fire uger... Sæt ét kryds i hver linje - Har du følt, at du ikke var udhvilet, når du vågnede?",Ofte,1,
"27. Hvor ofte inden for de seneste fire uger... Sæt ét kryds i hver linje - Har du følt, at du ikke var udhvilet, når du vågnede?",Sommetider,0,
"27. Hvor ofte inden for de seneste fire uger... Sæt ét kryds i hver linje - Har du følt, at du ikke var udhvilet, når du vågnede?",Sjældent ,0,
"27. Hvor ofte inden for de seneste fire uger... Sæt ét kryds i hver linje - Har du følt, at du ikke var udhvilet, når du vågnede?",Aldrig,0,
27. Hvor ofte inden for de seneste fire uger... Sæt ét kryds i hver linje - Har du følt dig træt i løbet af dagen?,Altid,1,
27. Hvor ofte inden for de seneste fire uger... Sæt ét kryds i hver linje - Har du følt dig træt i løbet af dagen?,Ofte,1,
27. Hvor ofte inden for de seneste fire uger... Sæt ét kryds i hver linje - Har du følt dig træt i løbet af dagen?,Sommetider,0,
27. Hvor ofte inden for de seneste fire uger... Sæt ét kryds i hver linje - Har du følt dig træt i løbet af dagen?,Sjældent ,0,
27. Hvor ofte inden for de seneste fire uger... Sæt ét kryds i hver linje - Har du følt dig træt i løbet af dagen?,Aldrig,0,
28. Er du i forbindelse med din hjertesygdom bekymret for følgende? Sæt ét kryds i hver linje - Ikke at få den rette behandling (f.eks. medicin),I høj grad,1,Bekymret for: Ikke at få den rette behandling
28. Er du i forbindelse med din hjertesygdom bekymret for følgende? Sæt ét kryds i hver linje - Ikke at få den rette behandling (f.eks. medicin),I nogen grad,1,Bekymret for: Ikke at få den rette behandling
28. Er du i forbindelse med din hjertesygdom bekymret for følgende? Sæt ét kryds i hver linje - Ikke at få den rette behandling (f.eks. medicin),I mindre grad,0,I mindre grad/slet ikke
28. Er du i forbindelse med din hjertesygdom bekymret for følgende? Sæt ét kryds i hver linje - Ikke at få den rette behandling (f.eks. medicin),Slet ikke,0,I mindre grad/slet ikke
28. Er du i forbindelse med din hjertesygdom bekymret for følgende? Sæt ét kryds i hver linje - Ikke at få den rette behandling (f.eks. medicin),Ved ikke/ikke relevant,2,
28. Er du i forbindelse med din hjertesygdom bekymret for følgende? Sæt ét kryds i hver linje - Om din hjertesygdom forværres,I høj grad,1,Bekymret for:  Om din hjertesygdom forværres
28. Er du i forbindelse med din hjertesygdom bekymret for følgende? Sæt ét kryds i hver linje - Om din hjertesygdom forværres,I nogen grad,1,Bekymret for: Om din hjertesygdom forværres
28. Er du i forbindelse med din hjertesygdom bekymret for følgende? Sæt ét kryds i hver linje - Om din hjertesygdom forværres,I mindre grad,0,I mindre grad/slet ikke
28. Er du i forbindelse med din hjertesygdom bekymret for følgende? Sæt ét kryds i hver linje - Om din hjertesygdom forværres,Slet ikke,0,I mindre grad/slet ikke
28. Er du i forbindelse med din hjertesygdom bekymret for følgende? Sæt ét kryds i hver linje - Om din hjertesygdom forværres,Ved ikke/ikke relevant,2,
28. Er du i forbindelse med din hjertesygdom bekymret for følgende? Sæt ét kryds i hver linje - At dine nærmeste bekymrer sig,I høj grad,1,Bekymret for: At dine nærmeste bekymrer sig
28. Er du i forbindelse med din hjertesygdom bekymret for følgende? Sæt ét kryds i hver linje - At dine nærmeste bekymrer sig,I nogen grad,1,Bekymret for: At dine nærmeste bekymrer sig
28. Er du i forbindelse med din hjertesygdom bekymret for følgende? Sæt ét kryds i hver linje - At dine nærmeste bekymrer sig,I mindre grad,0,I mindre grad/slet ikke
28. Er du i forbindelse med din hjertesygdom bekymret for følgende? Sæt ét kryds i hver linje - At dine nærmeste bekymrer sig,Slet ikke,0,I mindre grad/slet ikke
28. Er du i forbindelse med din hjertesygdom bekymret for følgende? Sæt ét kryds i hver linje - At dine nærmeste bekymrer sig,Ved ikke/ikke relevant,2,
28. Er du i forbindelse med din hjertesygdom bekymret for følgende? Sæt ét kryds i hver linje - At være en byrde for din familie,I høj grad,1,Bekymret for: At være en byrde for din familie
28. Er du i forbindelse med din hjertesygdom bekymret for følgende? Sæt ét kryds i hver linje - At være en byrde for din familie,I nogen grad,1,Bekymret for: At være en byrde for din familie
28. Er du i forbindelse med din hjertesygdom bekymret for følgende? Sæt ét kryds i hver linje - At være en byrde for din familie,I mindre grad,0,I mindre grad/slet ikke
28. Er du i forbindelse med din hjertesygdom bekymret for følgende? Sæt ét kryds i hver linje - At være en byrde for din familie,Slet ikke,0,I mindre grad/slet ikke
28. Er du i forbindelse med din hjertesygdom bekymret for følgende? Sæt ét kryds i hver linje - At være en byrde for din familie,Ved ikke/ikke relevant,2,
